,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
23,2020-04-17,123.05155695697337,34.63019342907119,202.2359973789253,123.05155695697337,123.05155695697337,-7.762427094619897,-7.762427094619897,-7.762427094619897,-7.762427094619897,-7.762427094619897,-7.762427094619897,0.0,0.0,0.0,115.28912986235348
24,2020-04-20,128.43802238644346,36.262849547714886,208.83001651312102,128.43802238644346,128.43802238644346,-5.865172059123658,-5.865172059123658,-5.865172059123658,-5.865172059123658,-5.865172059123658,-5.865172059123658,0.0,0.0,0.0,122.5728503273198
25,2020-04-21,130.23351089689115,43.33325821815549,210.24199098609182,130.23351089689115,130.23351089689115,-2.3850194153104187,-2.3850194153104187,-2.3850194153104187,-2.3850194153104187,-2.3850194153104187,-2.3850194153104187,0.0,0.0,0.0,127.84849148158072
26,2020-04-22,132.02899940733877,36.33936437221177,219.05853238786364,132.02899940733877,132.02899940733877,-3.49517077000986,-3.49517077000986,-3.49517077000986,-3.49517077000986,-3.49517077000986,-3.49517077000986,0.0,0.0,0.0,128.53382863732892
27,2020-04-23,133.82448791778643,39.748988406958084,216.9592576079345,133.82448791778643,133.82448791778643,-3.8442675055297832,-3.8442675055297832,-3.8442675055297832,-3.8442675055297832,-3.8442675055297832,-3.8442675055297832,0.0,0.0,0.0,129.98022041225664
28,2020-04-24,135.61997642823408,39.367856347820585,215.39982248891582,135.61997642823408,135.61997642823408,-7.762427094624527,-7.762427094624527,-7.762427094624527,-7.762427094624527,-7.762427094624527,-7.762427094624527,0.0,0.0,0.0,127.85754933360955
29,2020-04-27,141.00644195957707,50.95491807964744,225.45892545066454,141.00644195957707,141.00644195957707,-5.865172059090367,-5.865172059090367,-5.865172059090367,-5.865172059090367,-5.865172059090367,-5.865172059090367,0.0,0.0,0.0,135.14126990048672
30,2020-04-28,142.8019304700247,53.815285635605115,224.11066390431355,142.8019304700247,142.8019304700247,-2.3850194153026267,-2.3850194153026267,-2.3850194153026267,-2.3850194153026267,-2.3850194153026267,-2.3850194153026267,0.0,0.0,0.0,140.41691105472208
31,2020-04-29,144.59741898047236,51.82382698702622,222.4017924217132,144.59741898047236,144.59741898047236,-3.4951707700128214,-3.4951707700128214,-3.4951707700128214,-3.4951707700128214,-3.4951707700128214,-3.4951707700128214,0.0,0.0,0.0,141.10224821045952
32,2020-04-30,146.39290749092,55.679263866619706,224.8671175353742,146.39290749092,146.39290749092,-3.844267505528605,-3.844267505528605,-3.844267505528605,-3.844267505528605,-3.844267505528605,-3.844267505528605,0.0,0.0,0.0,142.54863998539142
33,2020-05-01,148.1883960385678,53.849159747668324,225.65583124034424,148.1883960385678,148.1883960385678,-7.762427094643576,-7.762427094643576,-7.762427094643576,-7.762427094643576,-7.762427094643576,-7.762427094643576,0.0,0.0,0.0,140.4259689439242
34,2020-05-04,153.57486168151107,61.26012080425651,236.39541790257002,153.57486168151107,153.57486168151107,-5.865172059103291,-5.865172059103291,-5.865172059103291,-5.865172059103291,-5.865172059103291,-5.865172059103291,0.0,0.0,0.0,147.70968962240778
